date,expression,meaning,explanation,example,example_translation,tip,CEFR_level,topic
2026-05-22,Πού ακριβώς πονάτε;,Where exactly does it hurt?,Used by the doctor to pinpoint the exact location of the patient's pain.,"Δείξτε μου, πού ακριβώς πονάτε;","Show me, where exactly does it hurt?",Be prepared to point to the specific body part when you hear this.,A2,Seeing the Doctor
2026-05-22,Εξωγήινος,Alien / Extraterrestrial,A hypothetical or fictional being from another world.,Πιστεύεις ότι υπάρχουν εξωγήινοι;,Do you believe aliens exist?,,B1,Space and Astronomy
2026-05-22,Δημόσιος διαγωνισμός,Public tender / Public procurement,A process by which a government department invites bids for large projects.,Η εταιρεία μας κατέθεσε προσφορά για τον δημόσιο διαγωνισμό του υπουργείου.,Our company submitted a bid for the ministry's public tender.,,C1,Business and Tax
2026-05-23,Ο αέρας πήρε την τέντα μας.,The wind blew away our awning/canopy.,A mishap during windy weather.,Δεν την είχαμε δέσει καλά και ο αέρας πήρε την τέντα μας.,We hadn't tied it well and the wind blew away our awning.,,A2,Camping
2026-05-23,Το πλοίο σφυρίζει για την αναχώρηση.,The ship is sounding its horn for departure.,The loud horn sound that signals the ship is about to leave the dock.,"Γρήγορα, ανέβα! Το πλοίο σφυρίζει για την αναχώρηση, θα μείνεις έξω!","Quick, get on! The ship is sounding its horn for departure, you'll be left behind!",,B2,Sea Travel
2026-05-23,Φορολογική κλίμακα,Tax bracket,The rate at which an individual's income is taxed based on their income level.,"Με την αύξηση που πήρε, άλλαξε φορολογική κλίμακα και πληρώνει περισσότερα.","With the raise he got, he moved to a higher tax bracket and pays more.",,C1,Business and Tax
2026-05-24,Χρειάζομαι βοήθεια για να διπλώσω τη σκηνή.,I need help to fold the tent.,Taking down camp is often a two-person job.,"Έλα από δω σε παρακαλώ, χρειάζομαι βοήθεια για να διπλώσω τη σκηνή.","Come over here please, I need help to fold the tent.",,A2,Camping
2026-05-24,Αηδία και σιχασιά,Disgust and revulsion,A reinforced phrase using two synonyms to express absolute disgust.,"Ο χώρος ήταν γεμάτος σκουπίδια, αηδία και σιχασιά!","The place was full of garbage, total disgust and revulsion!",Use when one word isn't enough to express your disgust.,B2,Yes and no
2026-05-24,Σπάει τα ταμεία,Breaks the box office,Used for a massive commercial hit (blockbuster).,Η νέα ταινία της Marvel αναμένεται να σπάσει τα ταμεία.,The new Marvel movie is expected to break the box office.,Equivalent to 'box office smash'.,C1,Movies and Cinema
2026-05-25,Τι προτείνετε;,What do you recommend?,Asking the waiter for suggestions.,"Είναι η πρώτη μας φορά εδώ, τι προτείνετε;","It's our first time here, what do you recommend?",A great way to discover local specialties.,A2,Food and Eating
2026-05-25,Είμαι καψούρης / καψούρα,To be deeply infatuated / smitten,"Describes the intense, burning feeling of being in love or having a huge crush.","Είναι τρελά καψούρης μαζί της, δεν βλέπει άλλην.","He is madly in love with her, he doesn't see anyone else.",Derived from a word meaning 'burn' or 'scorch'.,B1,Romantic gossip
2026-05-25,Σκηνοθετικό ντεμπούτο,Directorial debut,The first film directed by a filmmaker.,Το σκηνοθετικό του ντεμπούτο απέσπασε το Χρυσό Φοίνικα στις Κάννες.,His directorial debut won the Palme d'Or at Cannes.,,C1,Movies and Cinema
2026-05-26,Μιλάτε αγγλικά;,Do you speak English?,A useful question when you need to switch to English.,"Συγγνώμη, μιλάτε αγγλικά;","Excuse me, do you speak English?",,A1,Human relations
2026-05-26,Ξέχασα το σφυρί για να καρφώσω τα πασαλάκια.,I forgot the hammer to nail in the pegs.,Πασαλάκια' are the tent pegs or stakes.,Θα χρησιμοποιήσω μια πέτρα γιατί ξέχασα το σφυρί για να καρφώσω τα πασαλάκια.,I'll use a rock because I forgot the hammer to nail in the pegs.,,B1,Camping
2026-05-26,Η μπριζόλα μου είναι λίγο άψητη. Μπορείτε να την ψήσετε λίγο παραπάνω;,My steak is a bit undercooked. Can you cook it a little more?,A phrase to politely complain about food that is not cooked to your liking and to request a correction.,"Συγγνώμη για την ενόχληση, αλλά η μπριζόλα μου είναι λίγο άψητη. Μπορείτε να την ψήσετε λίγο παραπάνω;","Sorry to bother you, but my steak is a bit undercooked. Can you cook it a little more?",Using phrases like 'λίγο' (a little) and 'Συγγνώμη για την ενόχληση' (Sorry for the bother) softens the complaint.,C1,Eating and drinking
2026-05-27,Αστροναύτης,Astronaut,A person who is trained to travel in a spacecraft.,"Όταν μεγαλώσω, θέλω να γίνω αστροναύτης.","When I grow up, I want to be an astronaut.",,A2,Space and Astronomy
2026-05-27,Πρέπει να παραδώσω αυτή τη χειραποσκευή;,Do I have to check this carry-on bag?,"When the flight is full, you may be asked to check your carry-on at the gate.",Η υπάλληλος είπε ότι δεν έχει χώρο στην καμπίνα. Πρέπει να παραδώσω αυτή τη χειραποσκευή; Θα χρεωθώ έξτρα;,The attendant said there is no more room in the cabin. Do I have to check this carry-on bag? Will I be charged extra?,Παραδίδω' means to hand over or surrender.,B2,Air Travel
2026-05-27,Ταινία σταθμός,Landmark film / Milestone film,A film that defines an era or changes cinematic history.,Ο 'Νονός' θεωρείται ταινία σταθμός για τον παγκόσμιο κινηματογράφο.,The Godfather' is considered a landmark film for world cinema.,,C1,Movies and Cinema
2026-05-28,Μυρίζει ωραία,It smells nice,Complimenting food before eating it.,"Μμμ, τι μαγειρεύεις; Μυρίζει πολύ ωραία!","Mmm, what are you cooking? It smells very nice!",,A1,Food and Eating
2026-05-28,Πού ακριβώς βρίσκεται το ακίνητο;,Where exactly is the property located?,To get the precise address and understand the neighborhood.,"Για να δω την περιοχή στο χάρτη, μπορείτε να μου πείτε πού ακριβώς βρίσκεται το ακίνητο;","So I can see the area on the map, can you tell me where exactly the property is located?",,B1,Renting a home
2026-05-28,Ανοιχτό φινάλε,Open ending,An ending that leaves the resolution ambiguous and up to interpretation.,Το ανοιχτό φινάλε προκάλεσε πολλές συζητήσεις ανάμεσα στους κριτικούς.,The open ending sparked many discussions among critics.,,C1,Movies and Cinema
2026-05-29,Πακέτο για το σπίτι,Takeaway / To go,Asking to take the food with you.,"Θα ήθελα δύο καφέδες, πακέτο για το σπίτι.","I would like two coffees, to go.",Literally means 'package for the home'.,A2,Food and Eating
2026-05-29,Ο Γιάννης είναι το φυτό της τάξης.,Giannis is the class nerd/swot.,Φυτό' (plant) is school slang for someone who studies all the time and has no social life.,"Ο Γιάννης είναι το φυτό της τάξης, διαβάζει συνέχεια και δεν βγαίνει ποτέ.","Giannis is the class nerd, he studies constantly and never goes out.",,B1,School and Education
2026-05-29,Δεν μπορώ να τον βλέπω ούτε ζωγραφιστό,I can't stand the sight of him,Literally 'I can't even see him painted'. Means you despise someone completely.,"Μετά από αυτό που μου έκανε, δεν μπορώ να τον βλέπω ούτε ζωγραφιστό.","After what he did to me, I can't stand the sight of him.",Perfect for expressing intense personal dislike.,C2,Yes and no
2026-05-30,Κάνει την πρώτη κίνηση,He/She makes the first move,Talking about who initiates the romance.,Περιμένω να κάνει την πρώτη κίνηση.,I am waiting for him to make the first move.,Useful for dating strategies.,A2,Romantic Gossip
2026-05-30,Ψάχνω για δουλειά,To look for a job,The act of searching for employment.,Είμαι άνεργος εδώ και ένα μήνα και ψάχνω για δουλειά.,I have been unemployed for a month and I am looking for a job.,,B1,Office and Work
2026-05-30,Κλέβει την παράσταση,Steals the show,When a supporting actor outshines the main cast.,Ο δεύτερος ρόλος ήταν τόσο καλός που έκλεψε την παράσταση.,The supporting role was so good that it stole the show.,Can be used in theater and real life too.,C1,Movies and Cinema
2026-05-31,"Τα κύματα είναι τεράστια, πάμε να παίξουμε!","The waves are huge, let's go play!",Excitement when the sea is rough but fun for jumping in the waves.,"Σήμερα φυσάει, τα κύματα είναι τεράστια, πάμε να παίξουμε!","It's windy today, the waves are huge, let's go play!",,A1,Summer and Beach
2026-05-31,Η επαφή με τη φύση σε ηρεμεί.,Contact with nature calms you down.,Expressing the psychological benefits of camping.,"Ξεχνάς το άγχος της πόλης, η επαφή με τη φύση σε ηρεμεί.","You forget the stress of the city, contact with nature calms you down.",,B2,Camping
2026-05-31,Κάνει κοιλιά,It sags / drags,"Used when a movie's pacing slows down noticeably, usually in the middle.","Η ταινία ξεκινάει δυναμικά, αλλά στη μέση κάνει κοιλιά.","The film starts strong, but in the middle it drags.",Literally means 'makes a belly'.,C1,Movies and Cinema
2026-06-01,Ποιος πλήρωσε;,Who paid?,Asking for details about a date's dynamics.,Στο εστιατόριο ποιος πλήρωσε;,"At the restaurant, who paid?",A common cultural question after a first date.,A2,Romantic Gossip
2026-06-01,Πότε είναι η νέα ώρα αναχώρησης;,When is the new departure time?,Asking for updated information after a delay is announced.,Η πτήση μας έχει καθυστέρηση. Γνωρίζουμε πότε είναι η νέα ώρα αναχώρησης;,Our flight is delayed. Do we know when the new departure time is?,,B1,Air Travel
2026-06-01,Μη επανδρωμένη αποστολή,Unmanned mission,A spaceflight with no human crew aboard.,Η NASA έστειλε μια μη επανδρωμένη αποστολή για να μελετήσει τον Δία.,NASA sent an unmanned mission to study Jupiter.,,C1,Space and Astronomy
2026-06-02,Πάμε να κάνουμε πεζοπορία στο μονοπάτι.,Let's go hiking on the trail.,A common daytime camping activity.,"Φόρεσε τα αθλητικά σου, πάμε να κάνουμε πεζοπορία στο μονοπάτι.","Put on your sneakers, let's go hiking on the trail.",,A2,Camping
2026-06-02,Σε πόση ώρα φτάνουμε; / Τι ώρα φτάνουμε;,How long until we arrive? / What time do we arrive?,Asking the flight attendant about the remaining flight time.,Προσπαθώ να κανονίσω ποιος θα με παραλάβει. Μπορείτε να μου πείτε τι ώρα φτάνουμε τοπική ώρα;,I'm trying to arrange my pick-up. Can you tell me what time we arrive in local time?,,B1,Air Travel
2026-06-02,Αστεροσκοπείο,Observatory,A room or building housing an astronomical telescope or other scientific equipment for the study of natural phenomena.,Το Εθνικό Αστεροσκοπείο Αθηνών είναι ανοιχτό για το κοινό απόψε.,The National Observatory of Athens is open to the public tonight.,,C1,Space and Astronomy
2026-06-03,Έβαλα αντηλιακό για να μην καώ.,I put on sunscreen so I don't burn.,Essential beach vocabulary for sun protection.,"Πριν βγω στον ήλιο, έβαλα αντηλιακό για να μην καώ.","Before going out in the sun, I put on sunscreen so I don't burn.",,A2,Summer and Beach
2026-06-03,Πρέπει να υπογράψετε το τετράδιο επικοινωνίας του παιδιού.,You need to sign the child's communication notebook.,"In primary school, teachers use a notebook to send notes to parents, which must be signed.","Μην ξεχάσετε, πρέπει να υπογράψετε το τετράδιο επικοινωνίας του παιδιού για την εκδρομή.","Don't forget, you need to sign the child's communication notebook for the field trip.",,B1,School and Education
2026-06-03,Εταιρική διακυβέρνηση,Corporate governance,"The system of rules, practices, and processes by which a firm is directed and controlled.",Η νέα νομοθεσία επιβάλλει αυστηρότερους κανόνες εταιρικής διακυβέρνησης.,The new legislation imposes stricter corporate governance rules.,,C2,Business and Tax
2026-06-04,Μέσα!,I'm in! / Agreed!,Literally 'inside'. Used to enthusiastically agree to a plan or proposal.,Πάμε για σινεμά απόψε; - Μέσα!,Are we going to the cinema tonight? - I'm in!,"Very common, casual way to agree to social plans.",A2,Yes and no
2026-06-04,Διαστημική υπηρεσία,Space agency,"A government organization responsible for a space program (e.g., NASA, ESA).",Η ευρωπαϊκή διαστημική υπηρεσία ανακοίνωσε μια νέα αποστολή.,The European space agency announced a new mission.,,B2,Space and Astronomy
2026-06-04,Εμπορική αποτυχία,Commercial flop,A film that failed to make money at the box office.,"Παρά το εξαιρετικό καστ, η ταινία ήταν εμπορική αποτυχία.","Despite the excellent cast, the film was a commercial flop.",,C1,Movies and Cinema
2026-06-05,Προτιμάς το οργανωμένο ή το ελεύθερο κάμπινγκ;,Do you prefer organized or wild camping?,Asking about someone's camping style preference. 'Ελεύθερο' literally means 'free'.,"Εγώ θέλω ανέσεις, εσύ προτιμάς το οργανωμένο ή το ελεύθερο κάμπινγκ;","I want comforts, do you prefer organized or wild camping?",,A2,Camping
2026-06-05,Αστερισμός,Constellation,A group of stars forming a recognizable pattern.,Η Μεγάλη Άρκτος είναι ένας από τους πιο γνωστούς αστερισμούς.,Ursa Major is one of the most famous constellations.,,B2,Space and Astronomy
2026-06-05,Σεναριακό κενό,Plot hole,A gap or inconsistency in a storyline.,"Η ταινία ήταν εντυπωσιακή, αλλά γεμάτη σεναριακά κενά.",The film was visually impressive but full of plot holes.,,C1,Movies and Cinema
2026-06-06,Πάμε να μαζέψουμε βότσαλα δίπλα στο κύμα.,Let's go collect pebbles by the waves.,A relaxing beach activity.,"Αντί να καθόμαστε, πάμε να μαζέψουμε βότσαλα δίπλα στο κύμα.","Instead of sitting around, let's go collect pebbles by the waves.",,A2,Summer and Beach
2026-06-06,Υπογράφω σύμβαση,To sign a contract,Officially agreeing to the terms of employment.,Αύριο πάω στα κεντρικά γραφεία για να υπογράψω τη σύμβαση.,Tomorrow I am going to the headquarters to sign the contract.,,B2,Office and Work
2026-06-06,Αφήνει εποχή,Leaves an era / Makes history,A film or performance so iconic it defines a generation.,Τα κοστούμια της ταινίας ήταν τόσο πρωτοποριακά που άφησαν εποχή.,The film's costumes were so avant-garde that they made history.,,C1,Movies and Cinema
2026-06-07,Ευχαριστώ,Thank you,The standard way to express gratitude.,Ευχαριστώ πολύ για τη βοήθεια.,Thank you very much for the help.,A fundamental polite expression.,A1,Human relations
2026-06-07,Έκανα μια τέλεια βουτιά με το κεφάλι.,I did a perfect head-first dive.,Describing a specific type of diving technique.,Ανέβηκα στον βράχο και έκανα μια τέλεια βουτιά με το κεφάλι.,I climbed on the rock and did a perfect head-first dive.,,B1,Summer and Beach
2026-06-07,Ρομποτικό όχημα,Rover,A planetary surface exploration device designed to move across the solid surface on a planet or other planetary mass celestial bodies.,Το ρομποτικό όχημα στέλνει φωτογραφίες από την επιφάνεια του Άρη.,The rover is sending photos from the surface of Mars.,,C1,Space and Astronomy
2026-06-08,Πώς τα πάει η κόρη μου στα μαθήματά της;,How is my daughter doing in her classes?,The standard question a parent asks a teacher during a consultation.,"Ήρθα να ρωτήσω, πώς τα πάει η κόρη μου στα μαθήματά της φέτος;","I came to ask, how is my daughter doing in her classes this year?",,A2,School and Education
2026-06-08,Η Πύλη των Λεόντων στις Μυκήνες είναι επιβλητική.,The Lion Gate in Mycenae is imposing.,Reacting to the monumental entrance of the ancient citadel.,"Μόλις φτάσαμε, είδαμε ότι η Πύλη των Λεόντων στις Μυκήνες είναι επιβλητική.","As soon as we arrived, we saw that the Lion Gate in Mycenae is imposing.",,B2,Sightseeing in Greece
2026-06-08,Κολλάω σαν στρείδι,To be overly clingy,Literally 'to stick like an oyster'. Describes a partner who doesn't give any personal space.,"Είναι καλό παιδί, αλλά ρε φίλε, κολλάει σαν στρείδι.","He's a good guy, but man, he clings like an oyster.",Used as a complaint about a suffocating partner.,C1,Romantic gossip
2026-06-09,Έχω πάρα πολύ διάβασμα για το σχολείο απόψε.,I have too much school studying tonight.,A common complaint from students about their workload.,"Δεν μπορώ να βγω έξω, έχω πάρα πολύ διάβασμα για το σχολείο απόψε.","I can't go out, I have too much school studying tonight.",,A1,School and Education
2026-06-09,Πιάστηκα να κάνω σκονάκι την ώρα της εξέτασης.,I got caught using a cheat sheet during the exam.,Σκονάκι' (little dust) is the Greek slang for a cheat sheet.,Ο Γιώργος μηδενίστηκε γιατί πιάστηκε να κάνει σκονάκι την ώρα της εξέτασης.,George got a zero because he got caught using a cheat sheet during the exam.,,B2,School and Education
2026-06-09,Έχει 7 μποφόρ σήμερα.,It's 7 Beaufort today.,"Greeks commonly use the Beaufort scale to measure wind speed, especially in relation to sea travel. 7 is very windy and may lead to cancellations.","Άκουσα τον καπετάνιο να το λέει. Έχει 7 μποφόρ σήμερα, γι' αυτό κουνάει τόσο.","I heard the captain say it. It's 7 Beaufort today, that's why it's swaying so much.",Anything over 6 Beaufort can make the journey uncomfortable. 8+ often leads to 'απαγορευτικό'.,C1,Sea Travel
2026-06-10,Είναι επιπλωμένο ή όχι;,Is it furnished or not?,To understand if the apartment comes with furniture.,Θα ήθελα να μάθω αν το διαμέρισμα που νοικιάζετε είναι επιπλωμένο ή όχι.,I would like to know if the apartment you are renting out is furnished or not.,,A2,Renting a home
2026-06-10,Το δάσος ψιθυρίζει ιστορίες.,The forest whispers stories.,This personification gives the forest a voice and a history. The sound of the wind through the leaves ('ψίθυρος') is imagined as the telling of ancient tales.,"Όταν περπατάς μόνος, μπορείς να ακούσεις πώς το δάσος ψιθυρίζει τις ιστορίες του.","When you walk alone, you can hear how the forest whispers its stories.","Creates a magical, enchanting atmosphere when describing a walk in the woods.",B1,Poetry
2026-06-10,Διαστημικός σταθμός,Space station,A large artificial satellite used as a long-term base for manned operations in space.,Οι αστροναύτες ζουν στον Διεθνή Διαστημικό Σταθμό για μήνες.,Astronauts live on the International Space Station for months.,,C1,Space and Astronomy
2026-06-11,Χωρίς ζάχαρη,Without sugar,Ordering coffee or tea.,"Πίνω τον καφέ μου σκέτο, χωρίς ζάχαρη.","I drink my coffee plain, without sugar.",,A1,Food and Eating
2026-06-11,Μετεωρίτης,Meteorite,A piece of rock or metal that has fallen to the earth's surface from outer space.,Ένας τεράστιος μετεωρίτης δημιούργησε αυτόν τον κρατήρα.,A huge meteorite created this crater.,,B2,Space and Astronomy
2026-06-11,Κλισέ του είδους,Trope / Cliché of the genre,Overused themes or plot devices specific to a film genre.,Η ταινία τρόμου ανακυκλώνει όλα τα γνωστά κλισέ του είδους.,The horror movie recycles all the known tropes of the genre.,,C1,Movies and Cinema
2026-06-12,Ήλιος,Sun,The star around which the earth orbits.,Ο ήλιος λάμπει πολύ σήμερα.,The sun is shining brightly today.,Always capitalized when referring to our specific star (ο Ήλιος).,A1,Space and Astronomy
2026-06-12,Πρέπει να πάω στο φροντιστήριο μετά το σχολείο.,I have to go to cram school after school.,Refers to the private tutoring centers very common in Greece for extra help or exam prep.,Τελειώνω στις 2 και πρέπει να πάω στο φροντιστήριο μετά το σχολείο.,I finish at 2 and I have to go to cram school after school.,Φροντιστήριο' is a huge part of Greek student culture.,B1,School and Education
2026-06-12,Παρατεταμένο πλάνο,Long take / Sequence shot,A continuous shot that lasts much longer than the conventional editing pace.,Το παρατεταμένο πλάνο στην αρχή της ταινίας δημιουργεί τεράστια ένταση.,The long take at the beginning of the film creates immense tension.,Also known as 'μονοπλάνο' (one-shot).,C2,Movies and Cinema
2026-06-13,Τι θα φάμε;,What will we eat?,Asking about the meal plan.,"Μαμά, τι θα φάμε σήμερα το μεσημέρι;","Mom, what will we eat today at noon?",Very common question in Greek households.,A1,Food and Eating
2026-06-13,Το κάμπινγκ έχει παροχή ρεύματος για κάθε σκηνή.,The campsite has a power supply for each tent.,A perk of organized campsites.,"Μπορείς να φορτίσεις το κινητό σου, το κάμπινγκ έχει παροχή ρεύματος για κάθε σκηνή.","You can charge your phone, the campsite has a power supply for each tent.",,B1,Camping
2026-06-13,Είμαστε στο ίδιο μήκος κύματος,We are on the same wavelength,Means two people understand each other perfectly and agree.,"Χαίρομαι που συνεργαζόμαστε, είμαστε στο ίδιο μήκος κύματος.","I'm glad we are working together, we are on the same wavelength.",Excellent for professional and personal contexts.,C1,Yes and no
2026-06-14,Τι θα πάρετε;,What will you have?,The standard question a waiter asks.,"Γεια σας, τι θα πάρετε για να πιείτε;","Hello, what will you have to drink?",This is in the polite plural form.,A1,Food and Eating
2026-06-14,Διαφωνώ κάθετα,I disagree completely (vertically),"Literally 'I disagree vertically'. Means absolute, unbending disagreement.",Διαφωνώ κάθετα με την απόφαση του συμβουλίου.,I completely disagree with the board's decision.,"Very common in formal debates, business, or serious arguments.",B2,Yes and no
2026-06-14,Άρτια σκηνοθεσία,Flawless direction,"Perfect, seamless directing without technical or artistic flaws.",Η ταινία ξεχωρίζει για την άρτια σκηνοθεσία και τη φωτογραφία της.,The film stands out for its flawless direction and cinematography.,,C1,Movies and Cinema
2026-06-15,Παρακαλώ,Please / You're welcome,A versatile word used for both 'please' and 'you're welcome'.,"Δώσε μου το αλάτι, παρακαλώ. / Ευχαριστώ! - Παρακαλώ.","Pass me the salt, please. / Thank you! - You're welcome.",Context makes the meaning clear.,A1,Human relations
2026-06-15,Το βράδυ στο βουνό έχει αρκετή ψύχρα.,It's quite chilly at night on the mountain.,Discussing the weather conditions.,"Πάρε ένα μπουφάν μαζί σου, το βράδυ στο βουνό έχει αρκετή ψύχρα.","Take a jacket with you, it's quite chilly at night on the mountain.",,B1,Camping
2026-06-15,Κοσμολογία,Cosmology,The science of the origin and development of the universe.,Η σύγχρονη κοσμολογία βασίζεται σε μεγάλο βαθμό στη θεωρία της σχετικότητας.,Modern cosmology relies heavily on the theory of relativity.,,C2,Space and Astronomy
2026-06-16,Πόσα τετραγωνικά μέτρα είναι;,How many square meters is it?,A fundamental question about the size of the flat.,Το διαμέρισμα φαίνεται μεγάλο στις φωτογραφίες. Μπορείτε να μου πείτε πόσα τετραγωνικά μέτρα είναι;,The apartment looks large in the photos. Can you tell me how many square meters it is?,,A2,Renting a home
2026-06-16,Ποιος μπορεί να κρατήσει την αναπνοή του κάτω από το νερό;,Who can hold their breath underwater?,A common game or challenge among friends in the sea.,"Ελάτε να κάνουμε διαγωνισμό, ποιος μπορεί να κρατήσει την αναπνοή του κάτω από το νερό;","Let's have a competition, who can hold their breath underwater?",,B1,Summer and Beach
2026-06-16,Εγγυητική επιστολή,Letter of guarantee,A document issued by a bank ensuring that the liabilities of a debtor will be met.,"Για να συμμετάσχετε στον διαγωνισμό, απαιτείται εγγυητική επιστολή από αναγνωρισμένη τράπεζα.","To participate in the tender, a letter of guarantee from a recognized bank is required.",,C2,Business and Tax
2026-06-17,Στην υγειά μας,Cheers / To our health,The standard toast when drinking.,"Στην υγειά μας, παιδιά! Πάντα τέτοια!","Cheers, guys! Always like this!",Often shortened to just 'Γεια μας!'.,A1,Food and Eating
2026-06-17,Πότε ξεκινάει η αποβίβαση;,When does disembarking begin?,Asking when you can get off the plane after it has landed and parked.,Έχουμε προσγειωθεί εδώ και δέκα λεπτά. Γνωρίζετε πότε ξεκινάει η αποβίβαση;,We have been landed for ten minutes. Do you know when disembarking begins?,,B2,Air Travel
2026-06-17,Εξωπλανήτης,Exoplanet,A planet that orbits a star outside the solar system.,Το τηλεσκόπιο ανακάλυψε έναν νέο εξωπλανήτη που μοιάζει με τη Γη.,The telescope discovered a new exoplanet that resembles Earth.,,C1,Space and Astronomy
2026-06-18,Μου αρέσει να ακούω τον ήχο των κυμάτων.,I love listening to the sound of the waves.,Expressing appreciation for the beach atmosphere.,Χαλαρώνω απόλυτα όταν κλείνω τα μάτια και ακούω τον ήχο των κυμάτων.,I relax completely when I close my eyes and listen to the sound of the waves.,,A2,Summer and Beach
2026-06-18,Πού είναι ο χώρος παραλαβής αποσκευών;,Where is the baggage claim area?,Asking for directions after landing and going through passport control.,Μόλις περάσαμε τον έλεγχο διαβατηρίων. Πώς θα πάμε στον χώρο παραλαβής αποσκευών;,We just went through passport control. How do we get to the baggage claim area?,,B1,Air Travel
2026-06-18,Από μηχανής θεός,Deus ex machina,"An unexpected power or event saving a seemingly hopeless situation, often seen as lazy writing.","Η λύση στο τέλος έμοιαζε με από μηχανής θεό, καταστρέφοντας την πλοκή.","The solution at the end felt like a deus ex machina, ruining the plot.",Originates from ancient Greek tragedy.,C2,Movies and Cinema
2026-06-19,Είναι πολύ ωραίος,He is very handsome,Used to describe a good-looking person.,Τον είδες; Είναι πολύ ωραίος!,Did you see him? He is very handsome!,Change to 'ωραία' for a woman.,A1,Romantic Gossip
2026-06-19,Πεδίο μάχης,Battlefield,"Used metaphorically to describe a place where violent clashes, riots, or severe destruction occurred.",Το κέντρο της Αθήνας μετατράπηκε σε πεδίο μάχης μετά την πορεία.,The center of Athens turned into a battlefield after the march.,Commonly used to describe the aftermath of protests or hooliganism.,B1,The News
2026-06-19,Πες το ψέματα,You can say that again / Absolutely,Literally 'say it is a lie' (ironic). Means what was just said is incredibly true.,Κάνει πολλή ζέστη σήμερα. - Πες το ψέματα!,It's very hot today. - You can say that again!,"A native-sounding, highly idiomatic way to agree.",C1,Yes and no
2026-06-20,Κάνει πολύ κρύο τον χειμώνα στην Καστοριά.,It is very cold in the winter in Kastoria.,A warning for tourists visiting northern Greece off-season.,"Πάρε χοντρά ρούχα, κάνει πολύ κρύο τον χειμώνα στην Καστοριά.","Take thick clothes, it is very cold in the winter in Kastoria.",,A1,Sightseeing in Greece
2026-06-20,Χρειάζομαι ένα κουπόνι για ξενοδοχείο και φαγητό.,I need a voucher for a hotel and food.,Requesting care and assistance from the airline during a long delay or cancellation.,"Η πτήση μας μεταφέρθηκε για αύριο το πρωί. Σύμφωνα με τον κανονισμό, η εταιρεία πρέπει να μας δώσει κουπόνι για ξενοδοχείο.","Our flight has been moved to tomorrow morning. According to the regulations, the airline must give us a hotel voucher.",,B2,Air Travel
2026-06-20,Άρση της δυσπιστίας,Suspension of disbelief,The audience's willingness to accept the unrealistic elements of a film.,Η ταινία απαιτεί την πλήρη άρση της δυσπιστίας από το κοινό.,The film requires the complete suspension of disbelief from the audience.,Crucial concept for sci-fi and fantasy.,C2,Movies and Cinema
2026-06-21,Πού είναι οι κοινόχρηστες τουαλέτες στο κάμπινγκ;,Where are the shared toilets in the campsite?,A practical question in an organized campsite.,"Συγγνώμη, ξέρετε πού είναι οι κοινόχρηστες τουαλέτες στο κάμπινγκ;","Excuse me, do you know where the shared toilets in the campsite are?",,A1,Camping
2026-06-21,Έπεσα με την κοιλιά και πόνεσα.,I did a belly flop and it hurt.,When a dive goes wrong.,"Δεν υπολόγισα καλά, έπεσα με την κοιλιά και πόνεσα πολύ.","I didn't calculate well, I did a belly flop and it hurt a lot.",,B1,Summer and Beach
2026-06-21,Κέρατο βερνικωμένο,Blatant and obvious cheating,Literally 'varnished horn'. Means the cheating is so obvious and extensive that it's 'polished'.,"Της πουλάει έρωτα, αλλά από πίσω πέφτει κέρατο βερνικωμένο.","He sells her romance, but behind her back there is blatant cheating.",Highly idiomatic and expressive phrase for severe infidelity.,C2,Romantic gossip
2026-06-22,Είναι φρέσκο;,Is it fresh?,"Asking about the quality of ingredients, usually fish.",Τα ψάρια σας σήμερα είναι φρέσκα;,Are your fish fresh today?,Crucial question at a seafood taverna.,A1,Food and Eating
2026-06-22,Την έχει δαγκώσει,He is completely smitten / obsessed,Literally 'he has bitten it'. Means being helplessly in love or infatuated.,"Από τότε που τη γνώρισε, την έχει δαγκώσει άγρια.","Ever since he met her, he has been fiercely smitten.",Often used to tease a friend who is acting foolishly because of love.,B2,Romantic gossip
2026-06-22,"Δεδομένης της δυσανεξίας μου στη λακτόζη, ποια επιδόρπια θα ήταν κατάλληλα για μένα;","Given my lactose intolerance, which desserts would be suitable for me?","A very formal and precise way to inquire about dietary options, using advanced vocabulary ('δεδομένης', 'δυσανεξίας') and grammatical structure.","Ευχαριστώ για τις πληροφορίες. Δεδομένης της δυσανεξίας μου στη λακτόζη, ποια επιδόρπια θα ήταν κατάλληλα για μένα;","Thank you for the information. Given my lactose intolerance, which desserts would be suitable for me?",This level of formality is not typically necessary but demonstrates a mastery of the language. A simpler 'Έχω δυσανεξία στη λακτόζη. Τι γλυκό μπορώ να φάω;' is more common.,C2,Eating and drinking
2026-06-23,Πέρασα την τάξη με πολύ καλό βαθμό.,I passed the grade with a very good mark.,Successfully completing the school year with high overall grades.,Ευτυχώς διάβαζα όλη τη χρονιά και πέρασα την τάξη με πολύ καλό βαθμό.,Fortunately I studied all year and passed the grade with a very good mark.,,A2,School and Education
